ma_nhan_vien,ho_ten,ho_ten_chuan,don_vi,chuc_vu,email
NV017828,Lê Thành Dũng,le thanh dung,Phòng Hành chính - Cục Tham mưu (BQP),Trưởng phòng,nv017828@donvi.gov.vn
NV017829,Võ Kim Trang,vo kim trang,Phòng Truyền thông - Cục Tham mưu (CA),Trưởng nhóm,nv017829@donvi.gov.vn
NV017830,Nguyễn Diệu Dung,nguyen dieu dung,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Trưởng phòng,nv017830@donvi.gov.vn
NV017831,Nguyễn Minh Khang,nguyen minh khang,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Trưởng nhóm,nv017831@donvi.gov.vn
NV017832,Hồ Hữu Nam,ho huu nam,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Thành viên,nv017832@donvi.gov.vn
NV017833,Phan Bích Trang,phan bich trang,Phòng Truyền thông - Cục Tham mưu (CA),Trưởng phòng,nv017833@donvi.gov.vn
NV017834,Trần Bích Huyền,tran bich huyen,Phòng Tác chiến - Cục Chính trị (CA),Chuyên viên,nv017834@donvi.gov.vn
NV017835,Hoàng Công Giang,hoang cong giang,Phòng Nhân sự - Cục Tác chiến (BQP),Thành viên,nv017835@donvi.gov.vn
NV017836,Ngô Ngọc Nga,ngo ngoc nga,Phòng Nhân sự - Cục Quân huấn (CA),Chuyên viên chính,nv017836@donvi.gov.vn
NV017837,Phan Hữu Đạt,phan huu dat,Phòng Nhân sự - Cục Quân huấn (CA),Chuyên viên,nv017837@donvi.gov.vn
NV017838,Hồ Quốc Tâm,ho quoc tam,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv017838@donvi.gov.vn
NV017839,Đỗ Hồng Nhung,do hong nhung,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Chuyên viên,nv017839@donvi.gov.vn
NV017840,Bùi Đức Nam,bui duc nam,Phòng Đào tạo - Cục Kỹ thuật (BQP),Nhân viên,nv017840@donvi.gov.vn
NV017841,Lê Bích Phương,le bich phuong,Phòng Công nghệ - Cục Tác chiến (BQP),Trưởng nhóm,nv017841@donvi.gov.vn
NV017842,Bùi Bích Xuân,bui bich xuan,Phòng Thanh tra - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv017842@donvi.gov.vn
NV017843,Huỳnh Văn Đạt,huynh van dat,Phòng Tác chiến - Cục Chính trị (BQP),Chuyên viên,nv017843@donvi.gov.vn
NV017844,Đặng Quốc Việt,dang quoc viet,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv017844@donvi.gov.vn
NV017845,Vũ Kim Anh,vu kim anh,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv017845@donvi.gov.vn
NV017846,Võ Thị Vy,vo thi vy,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Nhân viên,nv017846@donvi.gov.vn
NV017847,Ngô Thành Hải,ngo thanh hai,Phòng Nhân sự - Cục Tham mưu (CA),Nhân viên,nv017847@donvi.gov.vn
NV017848,Trần Thành An,tran thanh an,Phòng Đào tạo - Cục Tham mưu (BQP),Phó trưởng phòng,nv017848@donvi.gov.vn
NV017849,Đặng Quốc Hải,dang quoc hai,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv017849@donvi.gov.vn
NV017850,Nguyễn Đức Thắng,nguyen duc thang,Phòng Truyền thông - Cục Tham mưu (BQP),Thành viên,nv017850@donvi.gov.vn
NV017851,Dương Quốc Long,duong quoc long,Phòng Hành chính - Cục Tham mưu (CA),Trưởng phòng,nv017851@donvi.gov.vn
NV017852,Hồ Thành Quang,ho thanh quang,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Trưởng phòng,nv017852@donvi.gov.vn
NV017853,Lê Thu Trang,le thu trang,Phòng Tác chiến - Cục Tham mưu (CA),Trưởng nhóm,nv017853@donvi.gov.vn
NV017854,Trần Hữu Sơn,tran huu son,Phòng Đào tạo - Cục Quân huấn (CA),Thành viên,nv017854@donvi.gov.vn
NV017855,Vũ Đức Sơn,vu duc son,Phòng Truyền thông - Cục Kỹ thuật (BQP),Trưởng nhóm,nv017855@donvi.gov.vn
NV017856,Võ Kim Thảo,vo kim thao,Phòng Thanh tra - Cục Quân huấn (CA),Chuyên viên chính,nv017856@donvi.gov.vn
NV017857,Dương Hồng Dung,duong hong dung,Phòng Pháp chế - Cục Chính trị (BQP),Phó trưởng phòng,nv017857@donvi.gov.vn
NV017858,Phan Kim Trang,phan kim trang,Phòng Tác chiến - Cục Chính trị (CA),Chuyên viên,nv017858@donvi.gov.vn
NV017859,Vũ Minh Hùng,vu minh hung,Phòng Thanh tra - Cục Chính trị (BQP),Chuyên viên,nv017859@donvi.gov.vn
NV017860,Lý Bích Dung,ly bich dung,Phòng Truyền thông - Cục Kỹ thuật (BQP),Thành viên,nv017860@donvi.gov.vn
NV017861,Đặng Văn Hùng,dang van hung,Phòng Nhân sự - Cục Tham mưu (CA),Chuyên viên,nv017861@donvi.gov.vn
NV017862,Võ Kim Hoa,vo kim hoa,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv017862@donvi.gov.vn
NV017863,Đặng Ngọc Lan,dang ngoc lan,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Chuyên viên,nv017863@donvi.gov.vn
NV017864,Nguyễn Thu Vy,nguyen thu vy,Phòng Tác chiến - Cục Kỹ thuật (BQP),Trưởng nhóm,nv017864@donvi.gov.vn
NV017865,Dương Thị Huyền,duong thi huyen,Phòng Đào tạo - Cục Quân huấn (CA),Chuyên viên chính,nv017865@donvi.gov.vn
NV017866,Hồ Thành Việt,ho thanh viet,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv017866@donvi.gov.vn
NV017867,Vũ Thị Huyền,vu thi huyen,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Chuyên viên,nv017867@donvi.gov.vn
NV017868,Vũ Hữu Hải,vu huu hai,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv017868@donvi.gov.vn
NV017869,Hồ Ngọc Thảo,ho ngoc thao,Phòng Thanh tra - Cục Chính trị (BQP),Chuyên viên,nv017869@donvi.gov.vn
NV017870,Dương Diệu Anh,duong dieu anh,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Chuyên viên,nv017870@donvi.gov.vn
NV017871,Bùi Quốc Phong,bui quoc phong,Phòng Truyền thông - Cục Tham mưu (CA),Nhân viên,nv017871@donvi.gov.vn
NV017872,Đặng Bích Vy,dang bich vy,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv017872@donvi.gov.vn
NV017873,Lê Thu Dung,le thu dung,Phòng Nhân sự - Cục Tác chiến (BQP),Nhân viên,nv017873@donvi.gov.vn
NV017874,Trần Thành Hùng,tran thanh hung,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Trưởng phòng,nv017874@donvi.gov.vn
NV017875,Hồ Minh Hùng,ho minh hung,Phòng Tác chiến - Cục Chính trị (BQP),Thành viên,nv017875@donvi.gov.vn
NV017876,Hồ Minh Giang,ho minh giang,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Chuyên viên,nv017876@donvi.gov.vn
NV017877,Hoàng Công Bình,hoang cong binh,Phòng Đào tạo - Cục Chính trị (BQP),Phó trưởng phòng,nv017877@donvi.gov.vn
NV017878,Trần Công Hải,tran cong hai,Phòng Thanh tra - Cục Chính trị (BQP),Trưởng nhóm,nv017878@donvi.gov.vn
NV017879,Lý Đức Tuấn,ly duc tuan,Phòng Nhân sự - Cục Tham mưu (BQP),Nhân viên,nv017879@donvi.gov.vn
NV017880,Đặng Thị Hà,dang thi ha,Phòng Nhân sự - Cục Chính trị (BQP),Trưởng nhóm,nv017880@donvi.gov.vn
NV017881,Đỗ Kim Hoa,do kim hoa,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv017881@donvi.gov.vn
NV017882,Hoàng Ngọc Hoa,hoang ngoc hoa,Phòng Công nghệ - Cục Tác chiến (BQP),Trưởng nhóm,nv017882@donvi.gov.vn
NV017883,Phạm Hồng Linh,pham hong linh,Phòng Pháp chế - Cục Tham mưu (CA),Nhân viên,nv017883@donvi.gov.vn
NV017884,Phan Công Hùng,phan cong hung,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Trưởng nhóm,nv017884@donvi.gov.vn
NV017885,Đỗ Ngọc Nga,do ngoc nga,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Chuyên viên chính,nv017885@donvi.gov.vn
NV017886,Huỳnh Minh Giang,huynh minh giang,Phòng Tác chiến - Cục Chính trị (CA),Chuyên viên chính,nv017886@donvi.gov.vn
NV017887,Bùi Hồng Phương,bui hong phuong,Phòng Thanh tra - Cục Quân huấn (CA),Chuyên viên,nv017887@donvi.gov.vn
NV017888,Vũ Quốc Thắng,vu quoc thang,Phòng Hành chính - Cục Tham mưu (CA),Trưởng nhóm,nv017888@donvi.gov.vn
NV017889,Huỳnh Ngọc Huyền,huynh ngoc huyen,Phòng Pháp chế - Cục Tác chiến (BQP),Trưởng nhóm,nv017889@donvi.gov.vn
NV017890,Võ Đức An,vo duc an,Phòng Pháp chế - Cục Tác chiến (BQP),Trưởng phòng,nv017890@donvi.gov.vn
NV017891,Trần Thu Chi,tran thu chi,Phòng Nhân sự - Cục Quân huấn (CA),Nhân viên,nv017891@donvi.gov.vn
NV017892,Huỳnh Diệu Vy,huynh dieu vy,Phòng Công nghệ - Cục Tác chiến (BQP),Thành viên,nv017892@donvi.gov.vn
NV017893,Nguyễn Hồng Thủy,nguyen hong thuy,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv017893@donvi.gov.vn
NV017894,Phạm Quốc Tâm,pham quoc tam,Phòng Nhân sự - Cục Chính trị (CA),Trưởng phòng,nv017894@donvi.gov.vn
NV017895,Dương Đức An,duong duc an,Phòng Pháp chế - Cục Tham mưu (CA),Chuyên viên chính,nv017895@donvi.gov.vn
NV017896,Nguyễn Văn Khang,nguyen van khang,Phòng Thanh tra - Cục Tham mưu (CA),Chuyên viên,nv017896@donvi.gov.vn
NV017897,Hoàng Bích Phương,hoang bich phuong,Phòng Đào tạo - Cục Quân huấn (CA),Chuyên viên,nv017897@donvi.gov.vn
NV017898,Đặng Diệu Hoa,dang dieu hoa,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Trưởng phòng,nv017898@donvi.gov.vn
NV017899,Đặng Kim Vy,dang kim vy,Phòng Truyền thông - Cục Tham mưu (CA),Chuyên viên chính,nv017899@donvi.gov.vn
NV017900,Hoàng Ngọc Dung,hoang ngoc dung,Phòng Đào tạo - Cục Kỹ thuật (BQP),Chuyên viên chính,nv017900@donvi.gov.vn
NV017901,Lý Công Hải,ly cong hai,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Trưởng phòng,nv017901@donvi.gov.vn
NV017902,Vũ Văn Quang,vu van quang,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên chính,nv017902@donvi.gov.vn
NV017903,Phạm Bích Thủy,pham bich thuy,Phòng Thanh tra - Cục Chính trị (BQP),Thành viên,nv017903@donvi.gov.vn
NV017904,Hoàng Thị Xuân,hoang thi xuan,Phòng Pháp chế - Cục Tác chiến (BQP),Trưởng phòng,nv017904@donvi.gov.vn
NV017905,Vũ Đức Quang,vu duc quang,Phòng Đào tạo - Cục Tham mưu (BQP),Chuyên viên,nv017905@donvi.gov.vn
NV017906,Vũ Thu Dung,vu thu dung,Phòng Hành chính - Cục Tham mưu (CA),Chuyên viên chính,nv017906@donvi.gov.vn
NV017907,Nguyễn Bích Thủy,nguyen bich thuy,Phòng Pháp chế - Cục Tác chiến (BQP),Trưởng nhóm,nv017907@donvi.gov.vn
NV017908,Bùi Kim Vy,bui kim vy,Phòng Công nghệ - Cục Tác chiến (BQP),Nhân viên,nv017908@donvi.gov.vn
NV017909,Hồ Văn Phong,ho van phong,Phòng Tác chiến - Cục Chính trị (BQP),Trưởng phòng,nv017909@donvi.gov.vn
NV017910,Hồ Hữu Đạt,ho huu dat,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên chính,nv017910@donvi.gov.vn
NV017911,Trần Đức Thắng,tran duc thang,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Trưởng phòng,nv017911@donvi.gov.vn
NV017912,Vũ Thành Long,vu thanh long,Phòng Hành chính - Cục Tham mưu (BQP),Thành viên,nv017912@donvi.gov.vn
NV017913,Lý Thành Tâm,ly thanh tam,Phòng Tác chiến - Cục Chính trị (CA),Trưởng nhóm,nv017913@donvi.gov.vn
NV017914,Lý Hữu Dũng,ly huu dung,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv017914@donvi.gov.vn
NV017915,Dương Hồng Mai,duong hong mai,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Chuyên viên chính,nv017915@donvi.gov.vn
NV017916,Đặng Hữu Sơn,dang huu son,Phòng Kỹ thuật - Cục Kế hoạch - Tài chính (BQP),Thành viên,nv017916@donvi.gov.vn
NV017917,Dương Thu Linh,duong thu linh,Phòng Nhân sự - Cục Tham mưu (BQP),Chuyên viên chính,nv017917@donvi.gov.vn
NV017918,Phạm Đức Sơn,pham duc son,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv017918@donvi.gov.vn
NV017919,Phạm Diệu Anh,pham dieu anh,Phòng Pháp chế - Cục Chính trị (BQP),Thành viên,nv017919@donvi.gov.vn
NV017920,Phan Thị Nhung,phan thi nhung,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Chuyên viên chính,nv017920@donvi.gov.vn
NV017921,Lý Công Việt,ly cong viet,Phòng Đào tạo - Cục Tham mưu (BQP),Thành viên,nv017921@donvi.gov.vn
NV017922,Vũ Văn Hùng,vu van hung,Phòng Truyền thông - Cục Tham mưu (BQP),Trưởng nhóm,nv017922@donvi.gov.vn
NV017923,Đỗ Hồng Xuân,do hong xuan,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv017923@donvi.gov.vn
NV017924,Lê Quốc An,le quoc an,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv017924@donvi.gov.vn
NV017925,Nguyễn Đức Đạt,nguyen duc dat,Phòng Thanh tra - Cục Chính trị (BQP),Thành viên,nv017925@donvi.gov.vn
NV017926,Đỗ Kim Linh,do kim linh,Phòng Nhân sự - Cục Tham mưu (BQP),Nhân viên,nv017926@donvi.gov.vn
NV017927,Ngô Bích Hà,ngo bich ha,Phòng Thanh tra - Cục Quân huấn (CA),Thành viên,nv017927@donvi.gov.vn
NV017928,Trần Hữu Quang,tran huu quang,Phòng Truyền thông - Cục Tham mưu (CA),Chuyên viên chính,nv017928@donvi.gov.vn
NV017929,Nguyễn Hữu Phong,nguyen huu phong,Phòng Pháp chế - Cục Chính trị (BQP),Chuyên viên chính,nv017929@donvi.gov.vn
NV017930,Hoàng Thị Vy,hoang thi vy,Phòng Tác chiến - Cục Kế hoạch - Tài chính (BQP),Chuyên viên,nv017930@donvi.gov.vn
NV017931,Đỗ Công Tuấn,do cong tuan,Phòng Công nghệ - Cục Chính trị (CA),Chuyên viên,nv017931@donvi.gov.vn
NV017932,Ngô Thị Hoa,ngo thi hoa,Phòng Công nghệ - Cục Tác chiến (BQP),Trưởng nhóm,nv017932@donvi.gov.vn
NV017933,Đỗ Kim Xuân,do kim xuan,Phòng Pháp chế - Cục Tham mưu (CA),Chuyên viên,nv017933@donvi.gov.vn
NV017934,Phan Thị Trang,phan thi trang,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Thành viên,nv017934@donvi.gov.vn
NV017935,Lý Hồng Yến,ly hong yen,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Chuyên viên,nv017935@donvi.gov.vn
NV017936,Lý Hữu Bình,ly huu binh,Phòng Tác chiến - Cục Tham mưu (CA),Nhân viên,nv017936@donvi.gov.vn
NV017937,Võ Bích Linh,vo bich linh,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Trưởng phòng,nv017937@donvi.gov.vn
NV017938,Nguyễn Bích Hoa,nguyen bich hoa,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv017938@donvi.gov.vn
NV017939,Ngô Minh Hùng,ngo minh hung,Phòng Tác chiến - Cục Chính trị (CA),Nhân viên,nv017939@donvi.gov.vn
NV017940,Vũ Đức Đạt,vu duc dat,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv017940@donvi.gov.vn
NV017941,Lê Thành Khang,le thanh khang,Phòng Pháp chế - Cục Chính trị (BQP),Nhân viên,nv017941@donvi.gov.vn
NV017942,Lê Quốc Nam,le quoc nam,Phòng Nhân sự - Cục Chính trị (BQP),Phó trưởng phòng,nv017942@donvi.gov.vn
NV017943,Phan Minh Nam,phan minh nam,Phòng Nhân sự - Cục Chính trị (BQP),Nhân viên,nv017943@donvi.gov.vn
NV017944,Trần Minh Bình,tran minh binh,Phòng Pháp chế - Cục Tham mưu (CA),Trưởng nhóm,nv017944@donvi.gov.vn
NV017945,Ngô Thị Hà,ngo thi ha,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Nhân viên,nv017945@donvi.gov.vn
NV017946,Lê Công Quang,le cong quang,Phòng Kỹ thuật - Cục Tham mưu (BQP),Phó trưởng phòng,nv017946@donvi.gov.vn
NV017947,Huỳnh Thành Quang,huynh thanh quang,Phòng Thanh tra - Cục Tham mưu (CA),Trưởng nhóm,nv017947@donvi.gov.vn
NV017948,Hồ Minh Tuấn,ho minh tuan,Phòng Tác chiến - Cục Tham mưu (CA),Chuyên viên,nv017948@donvi.gov.vn
NV017949,Hồ Hồng Yến,ho hong yen,Phòng Truyền thông - Cục Chính trị (CA),Thành viên,nv017949@donvi.gov.vn
NV017950,Ngô Ngọc Huyền,ngo ngoc huyen,Phòng Công nghệ - Cục Chính trị (CA),Chuyên viên chính,nv017950@donvi.gov.vn
NV017951,Trần Quốc Phong,tran quoc phong,Phòng Truyền thông - Cục Tham mưu (BQP),Trưởng phòng,nv017951@donvi.gov.vn
NV017952,Đỗ Đức Đạt,do duc dat,Phòng Công nghệ - Cục Chính trị (CA),Phó trưởng phòng,nv017952@donvi.gov.vn
NV017953,Phan Thành Bình,phan thanh binh,Phòng Pháp chế - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv017953@donvi.gov.vn
NV017954,Phạm Đức Đạt,pham duc dat,Phòng Hành chính - Cục Tham mưu (CA),Nhân viên,nv017954@donvi.gov.vn
NV017955,Nguyễn Quốc Long,nguyen quoc long,Phòng Thanh tra - Cục Tham mưu (CA),Nhân viên,nv017955@donvi.gov.vn
NV017956,Lý Bích Nhung,ly bich nhung,Phòng Tác chiến - Cục Chính trị (BQP),Chuyên viên chính,nv017956@donvi.gov.vn
NV017957,Hoàng Đức Long,hoang duc long,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv017957@donvi.gov.vn
NV017958,Lý Hồng Lan,ly hong lan,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Phó trưởng phòng,nv017958@donvi.gov.vn
NV017959,Bùi Thu Thảo,bui thu thao,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Phó trưởng phòng,nv017959@donvi.gov.vn
NV017960,Hồ Minh Hải,ho minh hai,Phòng Thanh tra - Cục Chính trị (BQP),Thành viên,nv017960@donvi.gov.vn
NV017961,Đỗ Hữu Đạt,do huu dat,Phòng Truyền thông - Cục Chính trị (CA),Phó trưởng phòng,nv017961@donvi.gov.vn
NV017962,Trần Hữu Quang,tran huu quang,Phòng Thanh tra - Cục Chính trị (BQP),Phó trưởng phòng,nv017962@donvi.gov.vn
NV017963,Vũ Hồng Trang,vu hong trang,Phòng Thanh tra - Cục Tham mưu (CA),Trưởng phòng,nv017963@donvi.gov.vn
NV017964,Ngô Hữu Thắng,ngo huu thang,Phòng Nhân sự - Cục Kế hoạch - Tài chính (BQP),Chuyên viên chính,nv017964@donvi.gov.vn
NV017965,Hoàng Thu Lan,hoang thu lan,Phòng Tác chiến - Cục Chính trị (BQP),Nhân viên,nv017965@donvi.gov.vn
NV017966,Ngô Ngọc Hà,ngo ngoc ha,Phòng Tác chiến - Cục Chính trị (BQP),Chuyên viên,nv017966@donvi.gov.vn
NV017967,Lý Hữu Phong,ly huu phong,Phòng Đào tạo - Cục Quân huấn (CA),Nhân viên,nv017967@donvi.gov.vn
NV017968,Hồ Công Sơn,ho cong son,Phòng Nhân sự - Cục Tham mưu (CA),Phó trưởng phòng,nv017968@donvi.gov.vn
NV017969,Trần Hữu Phong,tran huu phong,Phòng Công nghệ - Cục Chính trị (CA),Chuyên viên chính,nv017969@donvi.gov.vn
NV017970,Phạm Hồng Mai,pham hong mai,Phòng Đào tạo - Cục Tham mưu (BQP),Trưởng phòng,nv017970@donvi.gov.vn
NV017971,Võ Hữu An,vo huu an,Phòng Kỹ thuật - Cục Tham mưu (BQP),Chuyên viên,nv017971@donvi.gov.vn
NV017972,Đặng Kim Trang,dang kim trang,Phòng Đào tạo - Cục Chính trị (BQP),Trưởng nhóm,nv017972@donvi.gov.vn
NV017973,Ngô Kim Huyền,ngo kim huyen,Phòng Thanh tra - Cục Kế hoạch - Tài chính (BQP),Trưởng nhóm,nv017973@donvi.gov.vn
NV017974,Nguyễn Diệu Linh,nguyen dieu linh,Phòng Truyền thông - Cục Chính trị (CA),Trưởng phòng,nv017974@donvi.gov.vn
NV017975,Lý Quốc Tâm,ly quoc tam,Phòng Đào tạo - Cục Kỹ thuật (BQP),Nhân viên,nv017975@donvi.gov.vn
NV017976,Huỳnh Thị Nhung,huynh thi nhung,Phòng Thanh tra - Cục Kế hoạch - Tài chính (CA),Thành viên,nv017976@donvi.gov.vn
NV017977,Võ Công Giang,vo cong giang,Phòng Pháp chế - Cục Chính trị (BQP),Trưởng nhóm,nv017977@donvi.gov.vn
NV017978,Nguyễn Diệu Trang,nguyen dieu trang,Phòng Pháp chế - Cục Tham mưu (CA),Thành viên,nv017978@donvi.gov.vn
NV017979,Lê Quốc Nam,le quoc nam,Phòng Hành chính - Cục Tham mưu (CA),Thành viên,nv017979@donvi.gov.vn
NV017980,Nguyễn Bích Thủy,nguyen bich thuy,Phòng Tác chiến - Cục Chính trị (BQP),Trưởng phòng,nv017980@donvi.gov.vn
NV017981,Phan Bích Vy,phan bich vy,Phòng Đào tạo - Cục Tham mưu (BQP),Trưởng phòng,nv017981@donvi.gov.vn
NV017982,Đỗ Công Tâm,do cong tam,Phòng Đào tạo - Cục Quân huấn (CA),Trưởng phòng,nv017982@donvi.gov.vn
NV017983,Nguyễn Kim Yến,nguyen kim yen,Phòng Nhân sự - Cục Chính trị (BQP),Phó trưởng phòng,nv017983@donvi.gov.vn
NV017984,Huỳnh Kim Phương,huynh kim phuong,Phòng Công nghệ - Cục Chính trị (CA),Phó trưởng phòng,nv017984@donvi.gov.vn
NV017985,Lê Diệu Huyền,le dieu huyen,Phòng Truyền thông - Cục Kỹ thuật (BQP),Chuyên viên chính,nv017985@donvi.gov.vn
NV017986,Dương Bích Huyền,duong bich huyen,Phòng Thanh tra - Cục Quân huấn (CA),Nhân viên,nv017986@donvi.gov.vn
NV017987,Phan Công Thắng,phan cong thang,Phòng Truyền thông - Cục Tham mưu (BQP),Trưởng phòng,nv017987@donvi.gov.vn
NV017988,Nguyễn Thành Bình,nguyen thanh binh,Phòng Truyền thông - Cục Kỹ thuật (BQP),Chuyên viên chính,nv017988@donvi.gov.vn
NV017989,Phạm Văn Đạt,pham van dat,Phòng Hành chính - Cục Tham mưu (BQP),Thành viên,nv017989@donvi.gov.vn
NV017990,Võ Diệu Nhung,vo dieu nhung,Phòng Truyền thông - Cục Kỹ thuật (BQP),Phó trưởng phòng,nv017990@donvi.gov.vn
NV017991,Nguyễn Bích Yến,nguyen bich yen,Phòng Đào tạo - Cục Kỹ thuật (BQP),Nhân viên,nv017991@donvi.gov.vn
NV017992,Nguyễn Đức Dũng,nguyen duc dung,Phòng Nhân sự - Cục Chính trị (CA),Chuyên viên chính,nv017992@donvi.gov.vn
NV017993,Phạm Hồng Nhung,pham hong nhung,Phòng Pháp chế - Cục Tác chiến (BQP),Chuyên viên,nv017993@donvi.gov.vn
NV017994,Ngô Ngọc Dung,ngo ngoc dung,Phòng Hành chính - Cục Tham mưu (BQP),Chuyên viên chính,nv017994@donvi.gov.vn
NV017995,Nguyễn Thành Tâm,nguyen thanh tam,Phòng Kỹ thuật - Cục Tổ chức cán bộ (CA),Phó trưởng phòng,nv017995@donvi.gov.vn
NV017996,Phạm Đức Hùng,pham duc hung,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Chuyên viên chính,nv017996@donvi.gov.vn
NV017997,Đỗ Văn Đạt,do van dat,Phòng Công nghệ - Cục Tổ chức cán bộ (CA),Trưởng nhóm,nv017997@donvi.gov.vn
NV017998,Nguyễn Hữu An,nguyen huu an,Phòng Kỹ thuật - Cục Tham mưu (BQP),Nhân viên,nv017998@donvi.gov.vn
NV017999,Hoàng Hồng Xuân,hoang hong xuan,Phòng Hành chính - Cục Kế hoạch - Tài chính (CA),Nhân viên,nv017999@donvi.gov.vn
NV018000,Võ Hồng Vy,vo hong vy,Phòng Tác chiến - Cục Kế hoạch - Tài chính (CA),Trưởng phòng,nv018000@donvi.gov.vn
NV018001,Dương Bích Hà,duong bich ha,Phòng Truyền thông - Cục Chính trị (CA),Chuyên viên chính,nv018001@donvi.gov.vn
NV018002,Đặng Thị Dung,dang thi dung,Phòng Tác chiến - Cục Chính trị (BQP),Chuyên viên chính,nv018002@donvi.gov.vn
NV018003,Võ Thị Hà,vo thi ha,Phòng Nhân sự - Cục Quân huấn (CA),Nhân viên,nv018003@donvi.gov.vn
NV018004,Nguyễn Hồng Trang,nguyen hong trang,Phòng Hành chính - Cục Tham mưu (CA),Thành viên,nv018004@donvi.gov.vn
NV018005,Võ Hữu Nam,vo huu nam,Phòng Kỹ thuật - Cục Tham mưu (BQP),Trưởng nhóm,nv018005@donvi.gov.vn
NV018006,Vũ Minh An,vu minh an,Phòng Kỹ thuật - Cục Tham mưu (BQP),Trưởng phòng,nv018006@donvi.gov.vn
NV018007,Võ Đức Việt,vo duc viet,Phòng Truyền thông - Cục Kỹ thuật (BQP),Chuyên viên chính,nv018007@donvi.gov.vn
NV018008,Huỳnh Văn Bình,huynh van binh,Phòng Hành chính - Cục Tham mưu (BQP),Nhân viên,nv018008@donvi.gov.vn
NV018009,Phạm Thị Mai,pham thi mai,Phòng Pháp chế - Cục Tác chiến (BQP),Thành viên,nv018009@donvi.gov.vn
NV018010,Phạm Thu Nga,pham thu nga,Phòng Đào tạo - Cục Quân huấn (CA),Chuyên viên,nv018010@donvi.gov.vn
NV018011,Ngô Đức Bình,ngo duc binh,Phòng Thanh tra - Cục Chính trị (BQP),Thành viên,nv018011@donvi.gov.vn
NV018012,Dương Thành Thắng,duong thanh thang,Phòng Nhân sự - Cục Quân huấn (CA),Phó trưởng phòng,nv018012@donvi.gov.vn
NV018013,Ngô Đức Khang,ngo duc khang,Phòng Hành chính - Cục Tham mưu (CA),Trưởng nhóm,nv018013@donvi.gov.vn
NV018014,Nguyễn Thu Thảo,nguyen thu thao,Phòng Đào tạo - Cục Kỹ thuật (BQP),Trưởng nhóm,nv018014@donvi.gov.vn
